word,relevancy
vitrificação,8.364406207833696
mainardi,7.638214531154191
crissiumal,6.487890028093373
espelhamento,6.122221606684996
polimento,5.981485114710567
eloá,5.9326742873333105
vgt,5.643297380077768
martelinho,5.574557236286323
automatizado,5.543928888567315
assinei,5.537136616766769
夏タイヤ,5.523538319815715
cristalização,5.48306039330614
megapixel,5.445812081427091
funilaria,5.429503362701164
crusoé,5.400903328759816
mah,5.363978870560362
estofamento,5.35251833401143
realme,5.282489026823284
italva,5.189235969720066
interprete,5.087277221420039
conversa,5.084676367204353
automotiva,5.059139819160476
higienização,5.0578421105082505
conserto,5.036237115707437
ips,4.9379005664202715
estofado,4.803064543905378
fluente,4.779498682824433
trainee,4.774334078116961
qbex,4.688388887727332
hyundai,4.686892538651378
ram,4.678534922885432
blu,4.669119437221521
diogo,4.666620145810845
vipfesta,4.646619561285108
rear,4.631441869502358
câmbio,4.604307337580254
sarcasmo,4.549682578771912
unijipa,4.538458566338842
escavadeiras,4.4806961339316835
votei,4.4484292752605805
homerding,4.445334194981093
câmbios,4.444797969551107
oficina,4.437526020236774
komatsu,4.433527453415224
trunk,4.402005897776265
pcd,4.388332368082471
dualogic,4.366745052346653
ingles,4.356089118089211
alcatel,4.336491224508638
サマータイヤ,4.331915228828611
jerseys,4.329118893907842
incell,4.298633894917687
maiscelular,4.280390686285018
tradutora,4.280390686285018
blogue,4.249179740437682
cape,4.244566409799693
isenção,4.222338071315656
vitrificador,4.210430472255564
morei,4.178165387840959
プロテクター,4.1644892205811255
pmcell,4.135855540988258
falo,4.110108644684436
sportage,4.110061066881528
cambagem,4.108187640340858
seminovos,4.091218819225326
generais,4.063486084310449
nokia,4.03607701227758
itaíba,4.030372229854568
mecânica,4.025596018962769
alternador,4.0212137161334285
portela,4.01995608151925
gradiente,3.982285314151215
moro,3.970022450936772
lobão,3.968689522621747
importados,3.956093600073948
consultants,3.9442067633552855
cerulean,3.9442067633552855
shark,3.9440774196314248
deficientes,3.9413733965298547
moacir,3.935348948835165
shade,3.932731539417362
スニーカー,3.9124255871053935
chassis,3.908274008332543
automotivo,3.90797840530831
renault,3.896784098262574
xinguara,3.8759904179448172
跳ね上げベッド,3.8664889900702097
kia,3.850065654944339
sprinter,3.84967618201135
cruze,3.8467205146300856
ericsson,3.8438659120223018
governar,3.83672446031985
マット付き,3.806096600689563
doosan,3.806096600689563
収納ベッド,3.8054605236892156
min,3.799774147376415
balanceamento,3.797960463859248
fiat,3.783473612484599
espiarcomprar,3.766600232520426
petistas,3.766083015385788
