word,freq
campeonato,13.34267314882031
liga,12.446643514892564
taça,11.461067312991583
feminino,11.118244293906137
divisão,10.658460255268604
league,10.34314936888309
premier,10.166172107513544
copa,10.085453443959826
leite,10.082938777446502
fifa,9.47670856186795
championship,9.47670856186795
morango,9.05551487653563
iogurte,8.972156346597234
chocolate,8.950756434762207
manteiga,8.74697375396439
women,8.722979853335413
league.,8.698691541675123
integral,8.572567835116343
polpa,8.49284675667151
division,8.437857871643063
zero,8.381297664789384
tradicional,8.318964177752239
biscoito,8.29330662029719
austrália.,8.26308507807144
lactose,8.201221525606408
para,8.035682777498863
download,7.968073237856254
outubro,7.968073237856254
sadia,7.932406100544375
battle.,7.859083919465967
torneio,7.859083919465967
frango,7.859083919465967
vinho,7.809858586786223
todos,7.803140804720358
supertaça,7.78294097187476
lacfree,7.78294097187476
verde,7.745569317270599
regional,7.7437422144193295
lamb,7.703751509537697
creme,7.703751509537697
curitiba,7.703751509537697
fifa.,7.703751509537697
leia,7.662936196201986
futebol,7.651717689476625
mais,7.650971266787918
football,7.621261550286949
news,7.445192441956889
divisão.,7.445192441956889
dompablyto,7.445192441956889
queijo,7.441816203666754
brazil.,7.398614467883431
rússia.,7.398614467883431
light,7.398105582651965
primeira,7.374581997944326
campo,7.350914025639612
tournament,7.350914025639612
bauducco,7.350914025639612
coco,7.350914025639612
desde,7.340025161916534
postar,7.268911129168054
série,7.268911129168054
media,7.251919770128456
(rescheduled,7.251919770128456
championship.,7.251919770128456
whey,7.251919770128456
esports,7.251919770128456
natural,7.251919770128456
gerar,7.232301281380823
comentário,7.232301281380823
aplicativos,7.232301281380823
pinterest,7.232301281380823
futebol.,7.200502007420542
super,7.171602478292694
molho,7.156832153804707
arroz,7.147712943954363
cyber,7.147712943954363
bife,7.147712943954363
bolo,7.117909939362807
your,7.102042070465594
political,7.093477426229163
usa.,7.093477426229163
link,7.069522599596895
aveia,7.037713948130612
russia.,7.037713948130612
brasil.,7.037517408345894
grupo,7.034089007786365
megadeth,6.995971010497617
bielorrússia.,6.980333914151782
vitarella,6.980333914151782
e-mail,6.968222946933038
compartilhar,6.968222946933038
group,6.953469439856516
dragon,6.92124079260139
laranja,6.92124079260139
outros,6.861768346981395
facebook,6.85307951193651
twitter,6.820966404367101
nestle,6.797483461178454
frutas,6.797483461178454
lasanha,6.797483461178454
